Slot,Roll,Department,Program,Company,Job code
10.1,183059003,Computer Science & Engineering,M.Tech.,Colortokens,1
10.1,193100039,Mechanical Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,195280009,Applied Statistics and Informatics,M.Sc.,NeuralTechSoft,1
10.1,193070021,Electrical Engineering,M.Tech.,Ignitarium Technology Solutions Pvt Ltd,1
10.1,193060032,Earth Sciences,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183310001,Geoinformatics and Natural Resources Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,1
10.1,193050057,Computer Science & Engineering,M.Tech.,Colortokens,1
10.1,170070003,Electrical Engineering,B.Tech.,BeeHyv,1
10.1,193170012,Energy Science and Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183109005,Mechanical Engineering,M.Tech.,Applied Materials,2
10.1,193110015,Metallurgical Engineering and Materials Science,M.Tech.,LnT LTD,1
10.1,193010030,Aerospace Engineering,M.Tech.,LnT LTD,1
10.1,193180013,Environmental Science & Engineering,M.Tech.,LnT LTD,1
10.1,193310014,Geoinformatics and Natural Resources Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,1
10.1,16D070026,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Ignitarium Technology Solutions Pvt Ltd,1
10.1,193110054,Metallurgical Engineering and Materials Science,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,160110047,Metallurgical Engineering and Materials Science,B.Tech.,Agrifi,1
10.1,170050085,Computer Science & Engineering,B.Tech.,Agrifi,2
10.1,193040049,Civil Engineering,M.Tech.,LnT LTD,1
10.1,170020120,Chemical Engineering,B.Tech.,BeeHyv,1
10.1,193060013,Earth Sciences,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,195060002,Earth Sciences,M.Sc.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,164076016,Electrical Engineering,Ph.D.,www.globalfoundries.com,3
10.1,170100087,Mechanical Engineering,B.Tech.,BeeHyv,1
10.1,170070053,Electrical Engineering,B.Tech.,Jalan Technology Consulting,1
10.1,193040056,Civil Engineering,M.Tech.,LnT LTD,1
10.1,170260016,Engineering Physics,B.Tech.,BeeHyv,1
10.1,18310R001,Mechanical Engineering,M.Tech.,LnT LTD,1
10.1,193180016,Environmental Science & Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,2
10.1,193040032,Civil Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,170100045,Mechanical Engineering,B.Tech.,BeeHyv,1
10.1,173110014,Metallurgical Engineering and Materials Science,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183050046,Computer Science & Engineering,M.Tech.,Innoviti Payment Solutions,1
10.1,193180018,Environmental Science & Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,2
10.1,193060031,Earth Sciences,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,193100011,Mechanical Engineering,M.Tech.,LnT LTD,1
10.1,16D070027,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Agrifi,2
10.1,19F464006,Centre for Policy Studies,M.P.P,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,160110023,Metallurgical Engineering and Materials Science,Dual Degree (B.Tech. + M.Tech.),BeeHyv,1
10.1,170040104,Civil Engineering,B.Tech.,Mace Group,1
10.1,18310R002,Mechanical Engineering,M.Tech.,Applied Materials,2
10.1,170010024,Aerospace Engineering,B.Tech.,BeeHyv,1
10.1,193040015,Civil Engineering,M.Tech.,LnT LTD,1
10.1,193040019,Civil Engineering,M.Tech.,LnT LTD,1
10.1,170040003,Civil Engineering,B.Tech.,Mace Group,1
11.1,193040007,Civil Engineering,M.Tech.,Fullerton India Credit Company Ltd,1
11.1,193110034,Metallurgical Engineering and Materials Science,M.Tech.,Fullerton India Credit Company Ltd,1
11.1,195090025,Mathematics,M.Sc.,Fullerton India Credit Company Ltd,1
11.1,195120030,Physics,M.Sc.,Quantsapp Private limited,1
11.1,193010032,Aerospace Engineering,M.Tech.,Quantsapp Private limited,1
11.1,193040053,Civil Engineering,M.Tech.,SPECTRUM Techno Consultants Pvt Ltd,1
11.1,193040054,Civil Engineering,M.Tech.,SPECTRUM Techno Consultants Pvt Ltd,1
1.1,170050104,Computer Science & Engineering,B.Tech.,Google India Pvt. Ltd.,1
1.1,170110044,Mechanical Engineering,B.Tech.,Bain & Company,1
1.1,17B030019,Chemistry,B.S.,Goldman Sachs,1
1.1,160110071,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Boston Consulting Group,1
1.1,16D170019,"Energy Science and Engineering, Energy Science and Engineering",Dual Degree (B.Tech. + M.Tech.),Procter and Gamble,1
1.1,160020009,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Microsoft India Pvt. Ltd.,1
1.1,170040117,Civil Engineering,B.Tech.,Boston Consulting Group,1
1.1,183059007,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,170100032,Mechanical Engineering,B.Tech.,Bain & Company,1
1.1,193100062,Mechanical Engineering,M.Tech.,Airbus Group India Private Limited,6
1.1,170100021,Mechanical Engineering,B.Tech.,Bain & Company,1
1.1,183076004,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170050010,Computer Science & Engineering,B.Tech.,Google India Pvt. Ltd.,1
1.1,18307R026,Electrical Engineering,M.Tech.,Qualcomm,1
1.1,170050022,Computer Science & Engineering,B.Tech.,Optiver,3
1.1,17D110005,Metallurgical Engineering and Materials Science,B.Tech.,Optiver,1
1.1,16D170004,"Energy Science and Engineering, Energy Science and Engineering",Dual Degree (B.Tech. + M.Tech.),Microsoft India Pvt. Ltd.,1
1.1,18305R003,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,170020015,Chemical Engineering,B.Tech.,Optiver,3
1.1,170050099,Computer Science & Engineering,B.Tech.,Microsoft India Pvt. Ltd.,1
1.1,16D070040,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),WorldQuant Research (India) Private Limited,1
1.1,193050052,Computer Science & Engineering,M.Tech.,Qualcomm,5
1.1,170050080,Computer Science & Engineering,B.Tech.,Apple,1
1.1,16D170015,"Energy Science and Engineering, Energy Science and Engineering",Dual Degree (B.Tech. + M.Tech.),Apple,1
1.1,16D070044,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Microsoft India Pvt. Ltd.,1
1.1,16D070010,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Google India Pvt. Ltd.,2
1.1,170050081,Computer Science & Engineering,B.Tech.,Google India Pvt. Ltd.,1
1.1,183079018,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,193070038,Electrical Engineering,M.Tech.,Qualcomm,15
1.1,193050020,Computer Science & Engineering,M.Tech.,Apple,1
1.1,16D070011,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Google India Pvt. Ltd.,1
1.1,170110064,Metallurgical Engineering and Materials Science,B.Tech.,Texas Instruments,1
1.1,170110002,Aerospace Engineering,B.Tech.,Morgan Stanley IB,1
1.1,193050004,Computer Science & Engineering,M.Tech.,Google India Pvt. Ltd.,1
1.1,170070038,Electrical Engineering,B.Tech.,Texas Instruments,3
1.1,170100026,Electrical Engineering,B.Tech.,Microsoft India Pvt. Ltd.,2
1.1,16D100021,Mechanical Engineering,Dual Degree (B.Tech. + M.Tech.),Boston Consulting Group,1
1.1,193230001,Systems & Control Engineering,M.Tech.,GE ITC,1
1.1,16D070036,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Kearney,1
1.1,193050075,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,193070081,Electrical Engineering,M.Tech.,Texas Instruments,1
1.1,170040067,Civil Engineering,B.Tech.,Apple,1
1.1,170050097,Computer Science & Engineering,B.Tech.,Uber India Systems Pvt LTD,1
1.1,16D100008,Mechanical Engineering,Dual Degree (B.Tech. + M.Tech.),Airbus Group India Private Limited,4
1.1,193050007,Computer Science & Engineering,M.Tech.,Apple,1
1.1,170020121,Mechanical Engineering,B.Tech.,Arthur D. Little,1
1.1,193050017,Computer Science & Engineering,M.Tech.,Qualcomm,13
1.1,18307R030,Electrical Engineering,M.Tech.,Qualcomm,15
1.1,170040017,Civil Engineering,B.Tech.,Kearney,1
1.1,160040101,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Google India Pvt. Ltd.,1
1.1,18305R005,Computer Science & Engineering,M.Tech.,Google India Pvt. Ltd.,1
1.1,193050005,Computer Science & Engineering,M.Tech.,Google India Pvt. Ltd.,1
1.1,16D260012,Engineering Physics,Dual Degree (B.Tech. + M.Tech.),Apple,1
1.1,170020074,Chemical Engineering,B.Tech.,Procter and Gamble,1
1.1,193050090,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,183079030,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170050001,Computer Science & Engineering,B.Tech.,Optiver,3
1.1,170110097,Economics,B.S.,Boston Consulting Group,1
1.1,193070077,Electrical Engineering,M.Tech.,Texas Instruments,1
1.1,16D070046,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Goldman Sachs,1
1.1,18307R033,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,18307R021,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170100018,Mechanical Engineering,B.Tech.,Boston Consulting Group,1
1.1,193070054,Electrical Engineering,M.Tech.,Texas Instruments,1
1.1,170050011,Computer Science & Engineering,B.Tech.,Uber India Systems Pvt LTD,1
1.1,17B080011,Economics,B.S.,Boston Consulting Group,1
1.1,170100010,Mechanical Engineering,B.Tech.,Goldman Sachs,1
1.1,193070002,Electrical Engineering,M.Tech.,Apple,2
1.1,18307R019,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170020118,Chemical Engineering,B.Tech.,Kearney,1
1.1,193050092,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,183079028,Electrical Engineering,M.Tech.,Google India Pvt. Ltd.,2
1.1,170020047,Chemical Engineering,B.Tech.,Arthur D. Little,1
1.1,183079014,Electrical Engineering,M.Tech.,GE ITC,1
1.1,193050026,Computer Science & Engineering,M.Tech.,Qualcomm,13
1.1,16D070047,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Qualcomm,9
1.1,160020043,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Bain & Company,1
1.1,17D100013,Electrical Engineering,B.Tech.,Google India Pvt. Ltd.,2
1.1,170050107,Computer Science & Engineering,B.Tech.,Optiver,3
1.1,193190005,Industrial Engineering & Operations Research,M.Tech.,ANZ Bank,1
1.1,183079035,Electrical Engineering,M.Tech.,Google India Pvt. Ltd.,2
1.1,170020031,Chemical Engineering,B.Tech.,Procter and Gamble,1
1.1,16D070030,"Electrical Engineering, Electrical Engineering",Dual Degree (B.Tech. + M.Tech.),Texas Instruments,1
1.1,193100028,Mechanical Engineering,M.Tech.,GE ITC,1
1.1,183079031,Electrical Engineering,M.Tech.,Qualcomm,9
1.1,170100024,Mechanical Engineering,B.Tech.,Boston Consulting Group,1
1.1,170110047,Economics,B.S.,Bain & Company,1
1.1,193170021,Energy Science and Engineering,M.Tech.,GE ITC,1
1.1,193050033,Computer Science & Engineering,M.Tech.,Microsoft India Pvt. Ltd.,1
1.1,183236001,Systems & Control Engineering,M.Tech.,GE ITC,1
1.1,183079023,Electrical Engineering,M.Tech.,Qualcomm,15
1.1,18307R015,Electrical Engineering,M.Tech.,Texas Instruments,1
1.1,193070039,Electrical Engineering,M.Tech.,Google India Pvt. Ltd.,2
1.1,18307R014,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170050060,Computer Science & Engineering,B.Tech.,Optiver,3
1.1,193070075,Electrical Engineering,M.Tech.,Texas Instruments,2
1.1,170070054,Electrical Engineering,B.Tech.,Optiver,3
1.1,193070055,Electrical Engineering,M.Tech.,Qualcomm,15
1.1,170110014,Metallurgical Engineering and Materials Science,B.Tech.,Goldman Sachs,1
1.1,193040002,Civil Engineering,M.Tech.,ANZ Bank,1
12.1,170010006,Aerospace Engineering,B.Tech.,Miko,3
12.1,193230010,Systems & Control Engineering,M.Tech.,IFM Engineering Private Limited,1
12.1,193070030,Electrical Engineering,M.Tech.,Miko,2
12.1,193070034,Electrical Engineering,M.Tech.,Astrome Technologies Private Limited,1
12.1,193050056,Computer Science & Engineering,M.Tech.,Miko,1
12.1,17B030029,Chemistry,B.S.,Atyati Technologies Pvt Ltd,1
12.1,160020041,Chemical Engineering,B.Tech.,Atyati Technologies Pvt Ltd,1
1.2,170100044,Mechanical Engineering,B.Tech.,Jaguar Land Rover India Limited,3
1.2,170110069,Metallurgical Engineering and Materials Science,B.Tech.,Mastercard,1
1.2,160070031,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Taiwan Semiconductor Manufacturing Company,11
1.2,193050044,Computer Science & Engineering,M.Tech.,Cohesity,1
1.2,16D110011,Metallurgical Engineering and Materials Science,Dual Degree (B.Tech. + M.Tech.),McKinsey Knowledge Center,2
1.2,160110078,Mechanical Engineering,Dual Degree (B.Tech. + M.Tech.),Reckitt Benckiser,1
1.2,170040019,Civil Engineering,B.Tech.,Arpwood Capital,1
1.2,170070040,Electrical Engineering,B.Tech.,PricewaterhouseCoopers Service Delivery Center (Bangalore) Pvt Ltd - MC Analytics,1
1.2,170040079,Civil Engineering,B.Tech.,Mastercard,1
1.2,170070013,Electrical Engineering,B.Tech.,Quadeye (QE Securities LLP),1
1.2,170020092,Mechanical Engineering,B.Tech.,PricewaterhouseCoopers Service Delivery Center (Bangalore) Pvt Ltd - MC Analytics,1
1.2,183106003,Mechanical Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,5
1.2,16D070032,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Morgan Stanley,1
1.2,170110066,Metallurgical Engineering and Materials Science,B.Tech.,Flipkart,1
1.2,170100041,Mechanical Engineering,B.Tech.,Morgan Stanley,2
1.2,193070053,Electrical Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,11
1.2,170020005,Chemical Engineering,B.Tech.,Auctus Advisors Pvt Ltd,1
1.2,193070080,Electrical Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,11
1.2,170020035,Chemical Engineering,B.Tech.,International Asset Reconstruction Company Private Limited,1
1.2,16D070063,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Morgan Stanley,1
1.2,170040012,Civil Engineering,B.Tech.,Honda R&D,2
1.2,170050029,Computer Science & Engineering,B.Tech.,Quadeye (QE Securities LLP),2
1.2,193050024,Computer Science & Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,5
1.2,144050009,Computer Science & Engineering,M.S. by research (Exit Degree),Sony Japan,4
1.2,170100012,Mechanical Engineering,B.Tech.,International Asset Reconstruction Company Private Limited,1
1.2,170110017,Metallurgical Engineering and Materials Science,B.Tech.,Mastercard,1
1.2,150040110,Engineering Physics,Dual Degree (B.Tech. + M.Tech.),NEC,3
1.2,160020058,"Mechanical Engineering, Mechanical Engineering",Dual Degree (B.Tech. + M.Tech.),PricewaterhouseCoopers Service Delivery Center (Bangalore) Pvt Ltd - MC Analytics,1
1.2,16D070012,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Honda R&D,2
1.2,170260037,Engineering Physics,B.Tech.,Mastercard,1
1.2,193050008,Computer Science & Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,7
1.2,170040075,Civil Engineering,B.Tech.,Mastercard,1
1.2,170100001,Mechanical Engineering,B.Tech.,Mastercard,1
1.2,16D070043,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Honda R&D,1
1.2,170050036,Computer Science & Engineering,B.Tech.,Quadeye (QE Securities LLP),2
1.2,183079029,Electrical Engineering,M.Tech.,Taiwan Semiconductor Manufacturing Company,4
1.2,170020010,Mechanical Engineering,B.Tech.,Arpwood Capital,1
1.2,18305R002,Computer Science & Engineering,M.Tech.,Cohesity,1
1.2,18305R004,Computer Science & Engineering,M.Tech.,Flipkart,3
1.2,160040084,Mechanical Engineering,Dual Degree (B.Tech. + M.Tech.),Mastercard,1
1.2,195060011,Earth Sciences,M.Sc.,"Cairn Oil & Gas, Vedanta Limited",1
1.2,160110063,Metallurgical Engineering and Materials Science,Dual Degree (B.Tech. + M.Tech.),PricewaterhouseCoopers Service Delivery Center (Bangalore) Pvt Ltd - MC Analytics,1
1.2,193050006,Computer Science & Engineering,M.Tech.,APT Portfolio Pvt Ld,2
1.2,170070046,Electrical Engineering,B.Tech.,Honda R&D,1
1.2,18307R004,Electrical Engineering,M.Tech.,Honda R&D,3
1.2,170040099,Mechanical Engineering,B.Tech.,Mastercard,1
1.2,170100074,Mechanical Engineering,B.Tech.,Jaguar Land Rover India Limited,3
1.2,18307R001,Electrical Engineering,M.Tech.,NEC,5
1.2,170050059,Computer Science & Engineering,B.Tech.,Quadeye (QE Securities LLP),2
1.2,16D110024,Mechanical Engineering,Dual Degree (B.Tech. + M.Tech.),McKinsey Knowledge Center,1
1.2,16D070060,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Flipkart,1
1.2,170110078,Chemical Engineering,B.Tech.,Reckitt Benckiser,1
1.2,183079015,Electrical Engineering,M.Tech.,Sony Japan,2
1.2,170050078,Computer Science & Engineering,B.Tech.,Cohesity,1
1.2,160040100,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Morgan Stanley,1
1.2,160260026,"Engineering Physics, Industrial Engineering & Operations Research",Dual Degree (B.Tech. + M.Tech.),McKinsey Knowledge Center,1
1.2,183079008,Electrical Engineering,M.Tech.,Honda R&D,3
1.2,16D110009,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Morgan Stanley,2
1.2,16D070055,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),McKinsey Knowledge Center,1
14.1,193060007,Earth Sciences,M.Tech.,Halliburton,1
14.1,195300021,Biosciences and Bioengineering,M.Sc.,Yashraj Biotechnology Ltd,2
14.1,19304T001,Civil Engineering,M.Tech.,ESRI,1
14.1,170050054,Computer Science & Engineering,B.Tech.,Multiliving Technologies Pvt. Ltd,1
14.1,193110037,Metallurgical Engineering and Materials Science,M.Tech.,Halliburton,1
